机	機
朿	莿
杇	圬
村	邨
杝	柂
杠	槓
条	條
来	來
杧	芒
杯	盃
杰	傑
東	东
杷	朳
杸	殳
板	版
枏	楠
果	菓
枬	楠
枱	儓 檯
架	榢
枾	柹
柁	舵
柂	杝
柄	棅
柏	栢
某	厶
柒	七
柚	櫾
柜	櫃
查	査
柰	奈
柳	栁 檉
柹	枾
査	查
栁	柳
标	檁
栒	簨
栖	棲
栛	荔
栢	柏
栰	筏
栽	㘽
桌	棹
桼	㯃 漆
梁	樑
梅	槑
條	条 糶
梟	鴞
梦	夢
梨	棃
梲	棳
梹	檳
棃	梨
棅	柄
棊	碁 棋
棋	棊 碁
棐	榧
棑	篺
棕	㯶 椶
棥	樊
棰	槌
棱	稜 楞
棲	栖
棳	梲
棹	桌 櫂
椀	盌 碗
椁	槨
椎	槌
椰	㭨
椶	棕
椹	葚
楂	揸 槎
楞	棱 稜
楠	枏 枬
楥	楦
楦	楥
楫	艥 檝
概	槩
榎	檟
榛	亲
榢	架
榧	棐
榨	醡
榮	荣
榴	橊
槀	稿
槊	鎙
槌	棰 椎
槎	楂
槑	梅
槓	杠 篢
槖	橐
槨	椁
槩	㮣 概
槪	㮣
槹	𣓌
樊	棥
樐	㯭 艪 櫓
樑	梁
樓	廔
樚	轆
樷	叢
樸	朴
樻	匱 櫃
樽	墫 罇
橆	無
橇	鞽
橊	榴
橐	槖
橓	蕣
橛	橜
橜	橛
機	机
檁	标
檉	柳
檐	簷
檔	欓
檛	簻
檝	楫 艥
檟	榎
檠	𢐧
檣	艢
檯	儓 枱
檳	㯽 梹
檴	穫
檾	䔛
櫂	棹
櫃	匱 柜 樻 饋 鐀
櫈	凳
櫌	耰
櫓	㯭 樐 艪
櫝	匵
櫱	蘖
櫳	㰍
櫺	欞
櫾	柚
欓	檔
欝	鬱
欞	櫺
欢	懽 歡
欣	忻
欬	咳
欲	慾
欵	款
欶	𠲿
欸	唉
欹	猗
欼	啜 歠
款	欵
歌	謌
歎	嘆
歕	呠 噴
歗	嘯
歠	啜 欼
歡	懽 欢
歱	踵
歲	亗 岁 嵗 歳 𡻕
歳	歲
歴	曆 歷
歷	曆 歴
歸	䢜 归
歹	歺
歺	歹
歿	殁
殁	歿
殂	𣨐
殃	䄃
殉	侚 狥
殰	𦢌
殳	杸
殺	𢿹
殻	壳
殼	㱿
殽	淆
毓	育
毗	毘
毘	毗
毡	氈
毧	㲓
氅	鷩
氈	毡 氊
氊	氈
氓	甿
氙	氥
氜	陽 阳
氡	氭
氣	炁
氤	絪
氥	氙
氭	氡
氯	綠
水	氵
氵	水
氷	冫 冰
氼	溺
汎	泛
汙	污 洿 汚
汚	汙 洿
污	汙
決	决
沈	沉
沉	沈
沍	冱
沒	𣇶
沖	冲
沪	冱
沱	沲
沲	沱
沸	㵒
況	况 𡶢
泄	洩 渫
泉	洤
泛	汎
泝	遡
泥	坭
泪	淚
洒	灑
洞	峒
洤	泉
洩	泄 渫
洿	汙 汚
浚	濬
浣	澣
浼	凂 潣
涅	湼
涌	湧
涎	㳄
涕	䶏
涖	莅 蒞
涶	唾
涼	凉 鿌
淆	殽
淒	凄
淚	泪
淜	漰
淡	澹
淨	凈
淫	婬
深	𣸧
淳	湻
淹	渰
渚	陼
